,movie,year,time_minute,imdb_rating,metascore,vote,gross_earning
0,Zack Snyder's Justice League,2021,242,8.2,54.0,246401,
1,Avengers: Endgame,2019,181,8.4,78.0,850365,858.37
2,Sound of Metal,2019,120,7.8,82.0,54497,
3,The Trial of the Chicago 7,2020,129,7.8,76.0,124229,
4,Minari,2020,115,7.6,89.0,26144,
5,Soul,2020,100,8.1,83.0,216476,
6,Sleepers,1996,147,7.6,49.0,191087,49.1
7,Another Round,2020,117,7.8,80.0,55740,
8,Knives Out,2019,130,7.9,82.0,477265,165.36
9,The Shawshank Redemption,1994,142,9.3,80.0,2372509,28.34
10,The Dark Knight,2008,152,9.0,84.0,2336144,534.86
11,Avengers: Infinity War,2018,149,8.4,68.0,861180,678.82
12,The Godfather,1972,175,9.2,100.0,1642973,134.97
13,Once Upon a Time... In Hollywood,2019,161,7.6,83.0,569856,142.5
14,The Gentlemen,2019,113,7.8,51.0,254827,
15,Parasite,2019,132,8.6,96.0,586038,53.37
16,Harry Potter and the Sorcerer's Stone,2001,152,7.6,64.0,668169,317.58
17,Joker,2019,122,8.4,59.0,975695,335.45
18,The Sound of Music,1965,172,8.0,63.0,209243,163.21
19,Guardians of the Galaxy,2014,121,8.0,76.0,1055957,333.18
20,Blade Runner 2049,2017,164,8.0,81.0,472095,92.05
21,Watchmen,2009,162,7.6,56.0,509687,107.51
22,Pulp Fiction,1994,154,8.9,94.0,1848538,107.93
23,The Lord of the Rings: The Fellowship of the Ring,2001,178,8.8,92.0,1680806,315.54
24,Captain America: Civil War,2016,147,7.8,75.0,676457,408.08
25,The Wolf of Wall Street,2013,180,8.2,75.0,1210161,116.9
26,Thor: Ragnarok,2017,130,7.9,74.0,603498,315.06
27,Deadpool 2,2018,119,7.7,66.0,490044,324.59
28,Interstellar,2014,169,8.6,74.0,1539770,188.02
29,Almost Famous,2000,122,7.9,90.0,255211,32.53
30,Inception,2010,148,8.8,74.0,2095385,292.58
31,The Ten Commandments,1956,220,7.9,,64698,93.74
32,Captain America: The Winter Soldier,2014,136,7.7,70.0,747554,259.77
33,Ben-Hur,1959,212,8.1,90.0,221633,74.7
34,Titanic,1997,194,7.8,75.0,1057960,659.33
35,Inglourious Basterds,2009,153,8.3,69.0,1285964,120.54
36,Gone Girl,2014,149,8.1,79.0,874033,167.77
37,Jojo Rabbit,2019,108,7.9,58.0,311254,0.35
38,Back to the Future,1985,116,8.5,87.0,1072227,210.61
39,The Silence of the Lambs,1991,118,8.6,85.0,1287916,130.74
40,Captain Fantastic,2016,118,7.9,72.0,194682,5.88
41,Jurassic Park,1993,127,8.1,68.0,877718,402.45
42,The Avengers,2012,143,8.0,69.0,1273726,623.28
43,Mad Max: Fury Road,2015,120,8.1,90.0,893839,154.06
44,The Matrix,1999,136,8.7,73.0,1697108,171.48
45,1917,2019,119,8.3,78.0,448481,159.23
46,Heat,1995,170,8.2,76.0,585115,67.44
47,The Departed,2006,151,8.5,85.0,1204145,132.38
48,The Dark Knight Rises,2012,164,8.4,78.0,1533684,448.14
49,Schindler's List,1993,195,8.9,94.0,1226944,96.9
50,Gladiator,2000,155,8.5,67.0,1356396,187.71
51,The Prestige,2006,130,8.5,66.0,1205622,53.09
52,Forrest Gump,1994,142,8.8,82.0,1834605,330.25
53,Guardians of the Galaxy Vol. 2,2017,136,7.6,67.0,580504,389.81
54,Iron Man,2008,126,7.9,79.0,951493,318.41
55,Green Book,2018,130,8.2,69.0,394362,85.08
56,The Hobbit: An Unexpected Journey,2012,169,7.8,58.0,763479,303.0
57,No Country for Old Men,2007,122,8.1,91.0,868877,74.28
58,Dazed and Confused,1993,102,7.6,78.0,168028,7.99
59,Fight Club,1999,139,8.8,66.0,1877608,37.03
60,Alien,1979,117,8.4,89.0,796894,78.9
61,Call Me by Your Name,2017,132,7.9,93.0,219336,18.1
62,Deadpool,2016,108,8.0,65.0,914046,363.07
63,Ford v Ferrari,2019,152,8.1,81.0,304902,117.62
64,Django Unchained,2012,165,8.4,81.0,1376762,162.81
65,Hamilton,2020,160,8.5,90.0,61381,
66,Little Women,2019,135,7.8,91.0,150312,108.1
67,American Psycho,2000,101,7.6,64.0,500573,15.07
68,Tombstone,1993,130,7.8,50.0,128787,56.51
69,The Goonies,1985,114,7.8,62.0,247059,61.5
70,The Green Mile,1999,189,8.6,61.0,1163601,136.8
71,Goodfellas,1990,146,8.7,90.0,1034457,46.84
72,Bohemian Rhapsody,2018,134,8.0,49.0,461216,216.43
73,Batman Begins,2005,140,8.2,70.0,1323030,206.85
74,Saving Private Ryan,1998,169,8.6,91.0,1250551,216.54
75,Avatar,2009,162,7.8,83.0,1127961,760.51
76,The Lord of the Rings: The Return of the King,2003,201,8.9,94.0,1660936,377.85
77,Get Out,2017,104,7.7,85.0,501750,176.04
78,Apocalypse Now,1979,147,8.4,94.0,613193,83.47
79,Léon: The Professional,1994,110,8.5,64.0,1048245,19.5
80,Prisoners,2013,153,8.1,70.0,611015,61.0
81,The Grand Budapest Hotel,2014,99,8.1,88.0,719465,59.1
82,The Shining,1980,146,8.4,66.0,909851,44.02
83,Harry Potter and the Goblet of Fire,2005,157,7.7,81.0,555514,290.01
84,300,2006,117,7.6,52.0,739012,210.61
85,Se7en,1995,127,8.6,65.0,1464868,100.13
86,Requiem for a Dream,2000,102,8.3,68.0,775177,3.64
87,Shutter Island,2010,138,8.2,63.0,1148194,128.01
88,The Martian,2015,144,8.0,80.0,769391,228.43
89,The Lion King,1994,88,8.5,88.0,954127,422.78
90,Whiplash,2014,106,8.5,88.0,730211,13.09
91,Taxi Driver,1976,114,8.2,94.0,735001,28.26
92,Pride & Prejudice,2005,129,7.8,82.0,263102,38.41
93,The Big Short,2015,130,7.8,81.0,371851,70.26
94,Harry Potter and the Deathly Hallows: Part 2,2011,130,8.1,85.0,774463,381.01
95,Mission: Impossible - Fallout,2018,147,7.7,86.0,296043,220.16
96,Baby Driver,2017,113,7.6,86.0,447508,107.83
97,Moana,2016,107,7.6,81.0,278534,248.76
98,Into the Wild,2007,148,8.1,73.0,579629,18.35
99,Spider-Man: Into the Spider-Verse,2018,117,8.4,87.0,390196,190.24
100,Blade Runner,1982,117,8.1,84.0,700743,32.87
101,Arrival,2016,116,7.9,81.0,604176,100.55
102,Pirates of the Caribbean: The Curse of the Black Pearl,2003,143,8.0,63.0,1021745,305.41
103,The Irishman,2019,209,7.8,94.0,333243,7.0
104,Snatch,2000,102,8.3,55.0,789489,30.33
