movie name,year,movie link,movie_rating,metascore,votes
Zack Snyder's Justice League,(2021),https://www.imdb.com/title/tt12361974/,8.2,,"246,553"
Avengers: Endgame,(2019),https://www.imdb.com/title/tt4154796/,8.4,78        ,"850,395"
Sound of Metal,(2019),https://www.imdb.com/title/tt5363618/,7.8,82        ,"54,545"
The Trial of the Chicago 7,(2020),https://www.imdb.com/title/tt1070874/,7.8,76        ,"124,271"
Minari,(2020),https://www.imdb.com/title/tt10633456/,7.6,89        ,"26,169"
Soul,(2020),https://www.imdb.com/title/tt2948372/,8.1,83        ,"216,520"
Sleepers,(1996),https://www.imdb.com/title/tt0117665/,7.6,,"191,112"
Another Round,(2020),https://www.imdb.com/title/tt10288566/,7.8,80        ,"55,773"
Knives Out,(2019),https://www.imdb.com/title/tt8946378/,7.9,82        ,"477,293"
The Shawshank Redemption,(1994),https://www.imdb.com/title/tt0111161/,9.3,80        ,"2,372,545"
The Dark Knight,(2008),https://www.imdb.com/title/tt0468569/,9.0,84        ,"2,336,172"
Avengers: Infinity War,(2018),https://www.imdb.com/title/tt4154756/,8.4,68        ,"861,197"
The Godfather,(1972),https://www.imdb.com/title/tt0068646/,9.2,100        ,"1,643,005"
Once Upon a Time... In Hollywood,(2019),https://www.imdb.com/title/tt7131622/,7.6,83        ,"569,870"
The Gentlemen,(2019),https://www.imdb.com/title/tt8367814/,7.8,,"254,832"
Parasite,(2019),https://www.imdb.com/title/tt6751668/,8.6,96        ,"586,077"
Harry Potter and the Sorcerer's Stone,(2001),https://www.imdb.com/title/tt0241527/,7.6,64        ,"668,176"
Joker,(2019),https://www.imdb.com/title/tt7286456/,8.4,,"975,729"
The Sound of Music,(1965),https://www.imdb.com/title/tt0059742/,8.0,63        ,"209,246"
Guardians of the Galaxy,(2014),https://www.imdb.com/title/tt2015381/,8.0,76        ,"1,055,966"
Blade Runner 2049,(2017),https://www.imdb.com/title/tt1856101/,8.0,81        ,"472,108"
Watchmen,(2009),https://www.imdb.com/title/tt0409459/,7.6,,"509,704"
Pulp Fiction,(1994),https://www.imdb.com/title/tt0110912/,8.9,94        ,"1,848,559"
The Lord of the Rings: The Fellowship of the Ring,(2001),https://www.imdb.com/title/tt0120737/,8.8,92        ,"1,680,823"
Captain America: Civil War,(2016),https://www.imdb.com/title/tt3498820/,7.8,75        ,"676,481"
The Wolf of Wall Street,(2013),https://www.imdb.com/title/tt0993846/,8.2,75        ,"1,210,181"
Thor: Ragnarok,(2017),https://www.imdb.com/title/tt3501632/,7.9,74        ,"603,513"
Deadpool 2,(2018),https://www.imdb.com/title/tt5463162/,7.7,66        ,"490,055"
Interstellar,(2014),https://www.imdb.com/title/tt0816692/,8.6,74        ,"1,539,796"
Almost Famous,(2000),https://www.imdb.com/title/tt0181875/,7.9,90        ,"255,216"
Inception,(2010),https://www.imdb.com/title/tt1375666/,8.8,74        ,"2,095,418"
The Ten Commandments,(1956),https://www.imdb.com/title/tt0049833/,7.9,,"64,701"
Captain America: The Winter Soldier,(2014),https://www.imdb.com/title/tt1843866/,7.7,70        ,"747,574"
Ben-Hur,(1959),https://www.imdb.com/title/tt0052618/,8.1,90        ,"221,635"
Titanic,(1997),https://www.imdb.com/title/tt0120338/,7.8,75        ,"1,057,973"
Inglourious Basterds,(2009),https://www.imdb.com/title/tt0361748/,8.3,69        ,"1,285,988"
Gone Girl,(2014),https://www.imdb.com/title/tt2267998/,8.1,79        ,"874,048"
Jojo Rabbit,(2019),https://www.imdb.com/title/tt2584384/,7.9,,"311,270"
Back to the Future,(1985),https://www.imdb.com/title/tt0088763/,8.5,87        ,"1,072,239"
The Silence of the Lambs,(1991),https://www.imdb.com/title/tt0102926/,8.6,85        ,"1,287,928"
Captain Fantastic,(2016),https://www.imdb.com/title/tt3553976/,7.9,72        ,"194,684"
Jurassic Park,(1993),https://www.imdb.com/title/tt0107290/,8.1,68        ,"877,726"
The Avengers,(2012),https://www.imdb.com/title/tt0848228/,8.0,69        ,"1,273,733"
Mad Max: Fury Road,(2015),https://www.imdb.com/title/tt1392190/,8.1,90        ,"893,850"
Moonrise Kingdom,(2012),https://www.imdb.com/title/tt1748122/,7.8,84        ,"322,387"
The Matrix,(1999),https://www.imdb.com/title/tt0133093/,8.7,73        ,"1,697,124"
